title,action,adventure,animation,comedy,drama,fantasy,filmnoir,horror,imax,musical,mystery,other,romance,scifi,thriller,war,western,average_rating
Toy Story (1995),0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4.046875
Jumanji (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.875
Grumpier Old Men (1995),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.4545454545454546
Waiting to Exhale (1995),0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2.5
Father of the Bride Part II (1995),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5833333333333335
Heat (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.8055555555555554
Sabrina (1995),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.3636363636363638
Tom and Huck (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Sudden Death (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5
GoldenEye (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.411764705882353
"American President, The (1995)",0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3.84375
Dracula: Dead and Loving It (1995),0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3.0
Nixon (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Cutthroat Island (1995),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.5
Casino (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.892857142857143
Sense and Sensibility (1995),0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3.5714285714285716
Four Rooms (1995),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6666666666666665
Ace Ventura: When Nature Calls (1995),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75
Money Train (1995),1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,3.0
Get Shorty (1995),0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3.5555555555555554
Copycat (1995),0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,3.25
Assassins (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.0
Powder (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3.5
Leaving Las Vegas (1995),0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4.071428571428571
Persuasion (1995),0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4.5
"City of Lost Children, The (Cité des enfants perdus, La) (1995)",0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,3.9
Dangerous Minds (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.5625
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,3.814814814814815
Babe (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.5588235294117645
Dead Man Walking (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.8333333333333335
Clueless (1995),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.3421052631578947
Richard III (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4.333333333333333
Dead Presidents (1995),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Restoration (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.0
Mortal Kombat (1995),1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.3333333333333335
To Die For (1995),0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,3.2857142857142856
How to Make an American Quilt (1995),0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3.5
Seven (a.k.a. Se7en) (1995),0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4.171875
Pocahontas (1995),0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,3.25
"Usual Suspects, The (1995)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4.383333333333334
Mighty Aphrodite (1995),0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3.7142857142857144
Georgia (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Home for the Holidays (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.5
"Postman, The (Postino, Il) (1994)",0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,4.428571428571429
"Indian in the Cupboard, The (1995)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.75
Eye for an Eye (1996),0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4.0
Mr. Holland's Opus (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.033333333333333
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Two if by Sea (1996),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0
Bio-Dome (1996),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5
Two Bits (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
French Twist (Gazon maudit) (1995),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4.0
Friday (1995),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75
From Dusk Till Dawn (1996),1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,3.4444444444444446
"Misérables, Les (1995)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4.333333333333333
Bed of Roses (1996),0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4.0
Screamers (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.0
"Crossing Guard, The (1995)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3.0
"Juror, The (1996)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.6666666666666665
Things to Do in Denver When You're Dead (1995),0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3.0
Angels and Insects (1995),0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4.0
White Squall (1996),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.0
Black Sheep (1996),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8333333333333335
Nick of Time (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.4
Mary Reilly (1996),0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,3.0
Vampire in Brooklyn (1995),0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,3.0
Beautiful Girls (1996),0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3.5
Broken Arrow (1996),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.3636363636363638
"Hate (Haine, La) (1995)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.5
City Hall (1996),0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4.0
Bottle Rocket (1996),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.0
Mr. Wrong (1996),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Happy Gilmore (1996),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45
"Bridges of Madison County, The (1995)",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2.0
Nobody Loves Me (Keiner liebt mich) (1994),0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5.0
Muppet Treasure Island (1996),0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4.0
Braveheart (1995),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4.118421052631579
Taxi Driver (1976),0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4.083333333333333
Rumble in the Bronx (Hont faan kui) (1995),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1875
Margaret's Museum (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Boomerang (1992),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2.5
"Star Maker, The (Uomo delle stelle, L') (1995)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.0
Flirting With Disaster (1996),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25
Jade (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.0
Down Periscope (1996),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.857142857142857
Up Close and Personal (1996),0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3.0
"Birdcage, The (1996)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.892857142857143
"Brothers McMullen, The (1995)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Bad Boys (1995),1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,3.4
"Basketball Diaries, The (1995)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.6666666666666665
Amateur (1994),0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5.0
Apollo 13 (1995),0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4.0344827586206895
Rob Roy (1995),1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,3.45
Batman Forever (1995),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0714285714285716
Beauty of the Day (Belle de jour) (1967),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Beyond Rangoon (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4.0
Blue in the Face (1995),0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Canadian Bacon (1995),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3.625
Casper (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8333333333333335
Clockers (1995),0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3.5
Congo (1995),1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2.727272727272727
Crimson Tide (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3.638888888888889
Crumb (1994),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5
Desperado (1995),1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3.111111111111111
Devil in a Blue Dress (1995),0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,3.5
Die Hard: With a Vengeance (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.4318181818181817
First Knight (1995),1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2.6666666666666665
Hackers (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.857142857142857
Jeffrey (1995),0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.5
Johnny Mnemonic (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.5
Judge Dredd (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.8
Jury Duty (1995),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Kids (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.125
Living in Oblivion (1995),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
Lord of Illusions (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.0
Mad Love (1995),0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3.0
Mallrats (1995),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.3333333333333335
Mighty Morphin Power Rangers: The Movie (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
"Net, The (1995)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.026315789473684
Nine Months (1995),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2.9285714285714284
"Prophecy, The (1995)",0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,3.25
Safe (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.0
"Scarlet Letter, The (1995)",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3.0
Showgirls (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5
Smoke (1995),0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.8333333333333335
Something to Talk About (1995),0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3.25
Species (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2.7222222222222223
Strange Days (1995),1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,3.0
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4
Under Siege 2: Dark Territory (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2
Unzipped (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0
"Walk in the Clouds, A (1995)",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4.0
Waterworld (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.7333333333333334
Burnt by the Sun (Utomlyonnye solntsem) (1994),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.0
Before Sunrise (1995),0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3.3333333333333335
Billy Madison (1995),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6
Boys on the Side (1995),0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.1666666666666665
Circle of Friends (1995),0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3.0
Clerks (1994),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.888888888888889
Don Juan DeMarco (1995),0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3.2
Disclosure (1994),0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3.2
Death and the Maiden (1994),0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4.5
Dolores Claiborne (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4.5
Dumb & Dumber (Dumb and Dumber) (1994),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92
Eat Drink Man Woman (Yin shi nan nu) (1994),0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,4.0
Exotica (1994),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.875
Exit to Eden (1994),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6666666666666665
Ed Wood (1994),0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.3214285714285716
French Kiss (1995),1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.1875
Forget Paris (1995),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.7
"Goofy Movie, A (1995)",0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5.0
Fluke (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0
Farinelli: il castrato (1994),0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3.0
Hoop Dreams (1994),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.166666666666667
Heavenly Creatures (1994),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.5
Houseguest (1994),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Immortal Beloved (1994),0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3.6666666666666665
Heavyweights (Heavy Weights) (1995),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
I.Q. (1994),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2.9444444444444446
Interview with the Vampire: The Vampire Chronicles (1994),0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3.857142857142857
"Jerky Boys, The (1995)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Junior (1994),0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2.3125
Just Cause (1995),0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3.0
Star Wars: Episode IV - A New Hope (1977),1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.22972972972973
Little Women (1994),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.5833333333333335
"Little Princess, A (1995)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.642857142857143
Ladybird Ladybird (1994),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Like Water for Chocolate (Como agua para chocolate) (1992),0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,3.2222222222222223
Legends of the Fall (1994),0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,3.7333333333333334
Major Payne (1995),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Losing Isaiah (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
"Madness of King George, The (1994)",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.5625
Mary Shelley's Frankenstein (Frankenstein) (1994),0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,3.0
Man of the House (1995),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Mixed Nuts (1994),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Milk Money (1994),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.2
Miracle on 34th Street (1994),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.2222222222222223
My Family (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Murder in the First (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3.3333333333333335
Nell (1994),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.2777777777777777
Nemesis 2: Nebula (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.5
Natural Born Killers (1994),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.433333333333333
Only You (1994),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4.5
Outbreak (1995),1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,3.9705882352941178
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3.9615384615384617
"Perez Family, The (1995)",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2.5
"Pyromaniac's Love Story, A (1995)",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2.0
Pulp Fiction (1994),0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,4.224489795918367
Priest (1994),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
Quiz Show (1994),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.9615384615384617
"Quick and the Dead, The (1995)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2.75
Ready to Wear (Pret-A-Porter) (1994),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Three Colors: Red (Trois couleurs: Rouge) (1994),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.5
Three Colors: Blue (Trois couleurs: Bleu) (1993),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.5
Three Colors: White (Trzy kolory: Bialy) (1994),0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.0
Stuart Saves His Family (1995),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75
"Secret of Roan Inish, The (1994)",0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,3.375
"Specialist, The (1994)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.5
Stargate (1994),1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.185185185185185
"Santa Clause, The (1994)",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3.272727272727273
"Shawshank Redemption, The (1994)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.477777777777778
Shallow Grave (1994),0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,3.5
Swimming with Sharks (1995),0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.5
National Lampoon's Senior Trip (1995),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0
To Live (Huozhe) (1994),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.6666666666666665
Tank Girl (1995),1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1.75
Tales from the Crypt Presents: Demon Knight (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2.0
Star Trek: Generations (1994),0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3.3
Tales from the Hood (1995),1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0
Village of the Damned (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3.0
Tommy Boy (1995),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75
Vanya on 42nd Street (1994),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
What's Eating Gilbert Grape (1993),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.5294117647058822
Virtuosity (1995),1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2.3333333333333335
While You Were Sleeping (1995),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.236842105263158
"War, The (1994)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2.0
Muriel's Wedding (1994),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.772727272727273
Ace Ventura: Pet Detective (1994),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.903225806451613
"Adventures of Priscilla, Queen of the Desert, The (1994)",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.625
Bitter Moon (1992),0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3.0
Bullets Over Broadway (1994),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.857142857142857
Clear and Present Danger (1994),1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3.7333333333333334
"Client, The (1994)",0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,3.576923076923077
"Corrina, Corrina (1994)",0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3.0
Crooklyn (1994),0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4.5
"Crow, The (1994)",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3.388888888888889
"Flintstones, The (1994)",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.3636363636363638
Forrest Gump (1994),0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,4.14
Four Weddings and a Funeral (1994),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.9411764705882355
Higher Learning (1995),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.0
I Love Trouble (1994),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0
It Could Happen to You (1994),0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,4.5
"Jungle Book, The (1994)",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.375
"Lion King, The (1994)",0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,3.8653846153846154
Little Buddha (1993),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,3.0
"Mask, The (1994)",1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3.326923076923077
Maverick (1994),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3.3
Mrs. Parker and the Vicious Circle (1994),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
Naked Gun 33 1/3: The Final Insult (1994),1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0416666666666665
"Paper, The (1994)",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.6666666666666665
Reality Bites (1994),0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,3.7857142857142856
Red Rock West (1992),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.5
Richie Rich (1994),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0
"River Wild, The (1994)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.6875
Speed (1994),1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3.58
Speechless (1994),0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4.0
Timecop (1994),1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.5
True Lies (1994),1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,3.4545454545454546
When a Man Loves a Woman (1994),0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4.0
Wolf (1994),0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,3.5
Wyatt Earp (1994),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.9
Bad Company (1995),1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.25
"Man of No Importance, A (1994)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.0
"Colonel Chabert, Le (1994)",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,3.0
